ID,Show,O_R,M_P,Genre,OpenMonth,OpenYear,CloseMonth,CloseYear,Npreform,Coder,Cast_Size,Theatre,Capacity,Street,ProdCredits,Special,Organizer
48,An Enemy of the People ,Revival,Play, Drama,9,2012,11,2012,59.0,RP,14.0,Samuel J. Friedman ,650,47,19,,Manhattan  Club
49,Anastasia ,Original,Musical,,4,2017,NA,NA,232.0,OM,26.0,Broadhurst ,1186,44,35,,Shubert 
50,Ann,Original,Play, Solo,3,2013,6,2013,132.0,OP,2.0,Vivian Beaumont,1080,65,13,Solo,Lincoln Center 
51,Annie ,Revival,Musical, Comedy,11,2012,1,2014,487.0,RM,32.0,Palace ,1743,47,20,Kids,Nederlander 
52,Anything Goes ,Revival,Musical, Comedy,4,2011,7,2012,521.0,RM,30.0,Stephen Sondheim ,1055,43,13,,Roundabout  
53,Arcadia ,Revival,Play,,3,2011,6,2011,108.0,RP,17.0,Ethel Barrymore ,1096,47,17,,Shubert 
54,August: Osage County ,Original,Play,,12,2007,6,2009,648.0,OP,19.0,Music Box ,1009,45,25,,Shubert 
55,Avenue Q ,Original,Musical, Comedy,7,2003,9,2009,2534.0,OM,13.0,John Golden ,805,45,30,,Shubert 
56,Awake and Sing! ,Revival,Play, Drama,4,2006,6,2006,80.0,RP,15.0,Belasco ,1018,44,21,,Shubert 
57,Baby It's You! ,Original,Musical,,4,2011,9,2011,148.0,OM,19.0,Broadhurst ,1186,44,5,,Shubert 
58,Bandstand ,Original,Musical,,4,2017,9,2017,166.0,OM,28.0,Bernard B. Jacobs ,1078,45,3,,Shubert 
59,Barefoot in the Park ,Revival,Play, Comedy,2,2006,5,2006,109.0,RP,9.0,Cort ,1084,48,8,,Shubert 
60,Beautiful: The Carole King Musical ,Original,Musical,,1,2014,NA,NA,1600.0,OM,22.0,Stephen Sondheim ,1055,43,37,,Roundabout  
61,Beauty and the Beast ,Original,Musical, Comedy,4,1994,7,2007,5461.0,OM,39.0,Lunt-Fontanne ,1519,46,18,Disney,Nederlander 
62,Bengal Tiger at the Baghdad Zoo ,Original,Play, Drama,3,2011,7,2011,108.0,OP,11.0,Richard Rodgers ,1400,46,10,,Nederlander 
63,Betrayal ,Revival,Play, Drama,10,2013,1,2014,83.0,RP,7.0,Ethel Barrymore ,1096,47,32,,Shubert 
64,Big Fish ,Original,Musical, Drama,10,2013,12,2013,98.0,OM,27.0,Neil Simon ,1467,52,11,,Nederlander 
65,Billy Elliot: The Musical ,Original,Musical,,11,2008,1,2012,1312.0,OM,52.0,Imperial ,1443,45,24,Kids,Shubert 
66,Blackbird ,Original,Play, Drama,3,2016,6,2016,108.0,OP,5.0,Belasco ,1018,44,11,,Shubert 
67,Blithe Spirit ,Revival,Play, Comedy,3,2009,7,2009,145.0,RP,10.0,Shubert ,1460,44,3,,Shubert 
68,Bloody Bloody Andrew Jackson ,Original,Musical, History,10,2010,1,2011,94.0,OM,20.0,Bernard B. Jacobs ,1078,45,5,,Shubert 
