ID,Show,O_R,M_P,Genre,OpenMonth,OpenYear,CloseMonth,CloseYear,Npreform,Coder,Cast_Size,Theatre,Capacity,Street,ProdCredits,Special,Organizer
206,Jerusalem ,Original,Play, Drama,4,2011,8,2011,141.0,OP,20.0,Music Box ,1009,45,7,,Shubert 
207,Jesus Christ Superstar ,Revival,Musical, Drama,3,2012,7,2012,116.0,RM,29.0,Neil Simon ,1467,52,7,,Nederlander 
208,Jitney ,Original,Play, Drama,1,2017,3,2017,62.0,OP,13.0,Samuel J. Friedman ,650,47,11,,Manhattan  Club
209,Joe Turner's Come and Gone ,Revival,Play, Drama,4,2009,6,2009,69.0,RP,18.0,Belasco ,1018,44,18,,Shubert 
210,Journey's End ,Revival,Play, Drama,2,2007,6,2007,125.0,RP,11.0,Belasco ,1018,44,1,,Shubert 
211,Junk ,Original,Play,,11,2017,1,2018,37.0,OP,24.0,Vivian Beaumont,1080,65,0,,Lincoln Center 
212,King Charles III ,Original,Play,,11,2015,1,2016,103.0,OP,17.0,Music Box ,1009,45,22,,Shubert 
213,Kinky Boots ,Original,Musical,,4,2013,NA,NA,1954.0,OM,32.0,Al Hirschfeld ,1424,45,38,,Jujamcyn 
214,La Bete ,Revival,Play, Comedy,10,2010,1,2011,101.0,RP,12.0,Music Box ,1009,45,18,,Shubert 
215,La Cage aux Folles ,Revival,Musical, Comedy,4,2010,5,2011,433.0,RM,23.0,Longacre ,1091,48,22,,Shubert 
216,Lady Day at Emerson's Bar and Grill ,Original,Play, Play with music,4,2014,10,2014,173.0,OP,3.0,Circle in the Square ,840,50,12,,Independent
217,Latin History for Morons ,Original,Play, Comedy,11,2017,2,2018,20.0,OP,1.0,Studio 54,1006,54,6,,Roundabout  
218,Latinologues ,Original,Play,Monologue,10,2005,12,2005,93.0,OP,6.0,Helen Hayes ,597,44,15,,Second Stage 
219,Leap of Faith ,Original,Musical,,4,2012,5,2012,19.0,OM,33.0,St. James ,1709,44,11,,Jujamcyn 
220,Legally Blonde ,Original,Musical, Comedy,4,2007,10,2008,595.0,OM,33.0,Palace ,1743,47,35,Box,Nederlander 
221,Lend Me a Tenor ,Revival,Play, Comedy,4,2010,8,2010,153.0,RP,12.0,Music Box ,1009,45,5,,Shubert 
222,Les Liaisons Dangereuses  - Rev 1,Revival,Play, Drama,5,2008,7,2008,77.0,RP,14.0,American Airlines ,740,42,12,,Roundabout  
223,Les Liaisons Dangereuses  - Rev 2,Revival,Play,,10,2016,1,2017,81.0,RP,14.0,Booth ,766,45,10,,Shubert 
224,Les Miserables  - Rev 1,Revival,Musical, Drama,11,2006,1,2008,463.0,RM,38.0,Broadhurst ,1186,44,27,,Shubert 
225,Les Miserables  - Rev 2,Revival,Musical, Drama,3,2014,9,2016,1024.0,RM,38.0,Imperial ,1443,45,34,,Shubert 
226,Lestat ,Original,Musical, Drama,4,2006,5,2006,39.0,OM,21.0,Palace ,1743,47,10,,Nederlander 
227,Living on Love ,Original,Play, Comedy,4,2015,5,2015,16.0,OP,12.0,Longacre ,1091,48,12,,Shubert 
228,Lombardi ,Original,Play,,10,2010,5,2011,244.0,OP,10.0,Circle in the Square ,840,50,1,,Independent
229,Long Day's Journey Into Night ,Revival,Play, Drama,4,2016,6,2016,61.0,RP,9.0,American Airlines ,740,42,6,,Roundabout  
230,Looped ,Original,Play, Comedy,3,2010,4,2010,33.0,OP,5.0,Lyceum ,922,45,14,,Shubert 
231,Losing Louie ,Original,Play, Comedy,10,2006,11,2006,53.0,OP,10.0,Samuel J. Friedman ,650,47,2,,Manhattan  Club
232,Love Letters ,Revival,Play,,9,2014,12,2014,95.0,RP,4.0,Brooks Atkinson ,1094,47,16,,Nederlander 
233,Lovemusik ,Original,Musical, Drama,5,2007,6,2007,60.0,OM,12.0,Samuel J. Friedman ,650,47,20,,Manhattan  Club
234,Lucky Guy ,Original,Play, Drama,4,2013,7,2013,104.0,OP,18.0,Broadhurst ,1186,44,24,,Shubert 
235,Lysistrata Jones ,Original,Musical, Comedy,12,2011,1,2012,30.0,OM,17.0,Walter Kerr ,945,48,17,,Jujamcyn 
236,M. Butterfly ,Revival,Play, Drama,10,2017,1,2018,45.0,RP,17.0,Cort ,1084,48,8,,Shubert 
237,Macbeth  - Rev 47,Revival,Play, Tragedy,4,2008,5,2008,52.0,RP,23.0,Lyceum ,922,45,9,Shakespeare,Shubert 
238,Macbeth  - Rev 48,Revival,Play, Tragedy,4,2013,7,2013,73.0,RP,4.0,Ethel Barrymore ,1096,47,2,Shakespeare,Shubert 
239,Macbeth  - Rev 49 ,Revival,Play, Tragedy,11,2013,1,2014,60.0,RP,28.0,Vivian Beaumont,1080,65,8,Shakespeare,Lincoln Center 
240,Machinal ,Revival,Play,,1,2014,3,2014,52.0,RP,18.0,American Airlines ,740,42,0,,Roundabout  
241,Magic/Bird ,Original,Play, Drama,4,2012,5,2012,37.0,OP,9.0,Longacre ,1091,48,8,,Shubert 
242,Mamma Mia! ,Original,Musical, Comedy,10,2001,9,2015,5758.0,OM,32.0,Winter Garden ,1526,50,25,,Shubert 
243,Man and Boy ,Revival,Play,,10,2011,11,2011,57.0,RP,10.0,American Airlines ,740,42,9,,Roundabout  
244,Martin Short: Fame Becomes Me ,Original,Musical, Comedy,8,2006,1,2007,165.0,OM,10.0,Bernard B. Jacobs ,1078,45,3,,Shubert 
245,Marvin's Room ,Original,Play, Drama,6,2017,8,2017,68.0,OP,13.0,American Airlines ,740,42,2,,Roundabout  
246,Mary Poppins ,Original,Musical,,11,2006,3,2013,2619.0,OM,42.0,New Amsterdam ,1747,42,17,Disney,Disney  
247,Mary Stuart ,Revival,Play, Drama,4,2009,8,2009,137.0,RP,15.0,Broadhurst ,1186,44,14,,Shubert 
248,Master Class ,Revival,Play,,7,2011,9,2011,67.0,RP,10.0,Samuel J. Friedman ,650,47,15,,Manhattan  Club
249,Matilda ,Original,Musical,,4,2013,1,2017,1554.0,OM,36.0,Shubert ,1460,44,20,Kids,Shubert 
250,Mauritius ,Original,Play,,10,2007,11,2007,61.0,OP,8.0,Samuel J. Friedman ,650,47,21,,Manhattan  Club
251,Memphis ,Original,Musical,,10,2009,8,2012,1165.0,OM,28.0,Shubert ,1460,44,33,,Shubert 
252,Meteor Shower ,Original,Play, Comedy,11,2017,1,2018,6.0,OP,6.0,Booth ,766,45,11,,Shubert 
253,Million Dollar Quartet ,Original,Musical,,4,2010,6,2011,489.0,OM,12.0,Nederlander ,1235,41,10,,Nederlander 
254,Misery ,Original,Play, Drama,11,2015,2,2016,102.0,OP,5.0,Broadhurst ,1186,44,30,,Shubert 
255,Miss Saigon ,Revival,Musical, Drama,3,2017,1,2018,292.0,RM,43.0,Broadway ,1761,53,9,,Shubert 
256,Monty Python's Spamalot ,Original,Musical, Comedy,3,2005,1,2009,1575.0,OM,26.0,Shubert ,1460,44,29,,Shubert 
257,Mothers and Sons ,Original,Play, Drama,3,2014,6,2014,104.0,OP,7.0,John Golden ,805,45,10,,Shubert 
258,Motown  - Original,Original,Musical, Drama,4,2013,1,2015,738.0,OM,41.0,Lunt-Fontanne ,1519,46,32,,Nederlander 
259,Motown  - Revival,Original,Musical, Drama,7,2016,7,2016,24.0,OM,33.0,Nederlander ,1235,41,11,,Nederlander 
260,Mrs. Warren's Profession ,Revival,Play, Comedy,10,2010,11,2010,65.0,RP,10.0,American Airlines ,740,42,5,,Roundabout  
261,"Natasha, Pierre & The Great Comet of 1812 ",Original,Musical,,11,2016,9,2017,336.0,OM,33.0,Imperial ,1443,45,19,,Shubert 
262,Newsies ,Original,Musical, Comedy,3,2012,8,2014,1004.0,OM,33.0,Nederlander ,1235,41,39,,Nederlander 
263,Next Fall ,Original,Play, Drama,3,2010,7,2010,132.0,OP,9.0,Helen Hayes ,597,44,4,,Second Stage 
264,Next To Normal ,Original,Musical,,4,2009,1,2011,733.0,OM,10.0,Booth ,766,45,4,,Shubert 
265,Nice Work If You Can Get It ,Original,Musical, Comedy,4,2012,6,2013,478.0,OM,26.0,Imperial ,1443,45,36,,Shubert 
266,No Man's Land & Waiting for Godot ,Revival,Play, Drama,11,2013,3,2014,68.0,RP,6.0,Cort ,1084,48,6,,Shubert 
267,Noises Off ,Revival,Play, Comedy,1,2016,3,2016,67.0,RP,13.0,American Airlines ,740,42,1,,Roundabout  
268,November ,Original,Play, Comedy,1,2008,7,2008,205.0,OP,9.0,Ethel Barrymore ,1096,47,5,,Shubert 
269,Of Mice and Men ,Revival,Play, Drama,4,2014,7,2014,118.0,RP,14.0,Longacre ,1091,48,20,,Shubert 
270,"Oh, Hello on Broadway ",Original,Play, Comedy,10,2016,1,2017,120.0,OP,2.0,Lyceum ,922,45,17,,Shubert 
271,Old Acquaintance ,Revival,Play,,6,2007,8,2007,61.0,RP,9.0,American Airlines ,740,42,13,,Roundabout  
272,Old Times ,Revival,Play,,10,2015,11,2015,64.0,RP,5.0,American Airlines ,740,42,5,,Roundabout  
273,Oleanna ,Original,Play,,10,2009,12,2009,65.0,OP,4.0,John Golden ,805,45,9,,Shubert 
274,On a Clear Day You Can See Forever ,Original,Musical, Comedy,12,2011,1,2012,57.0,OM,21.0,St. James ,1709,44,32,,Jujamcyn 
275,On the Town ,Revival,Musical, Comedy,10,2014,9,2015,368.0,RM,32.0,Lyric ,1938,42,20,,Ambassador  
276,On the Twentieth Century ,Revival,Musical, Comedy,3,2015,7,2015,144.0,RM,24.0,American Airlines ,740,42,5,,Roundabout  
277,On Your Feet! ,Original,Musical,,11,2015,8,2017,746.0,OM,30.0,Marquis ,1612,46,34,,Nederlander 
278,Once ,Original,Musical, Romance,3,2012,1,2015,1168.0,OM,19.0,Bernard B. Jacobs ,1078,45,17,,Shubert 
280,"One Man, Two Guvnors ",Original,Play, Comedy,4,2012,9,2012,159.0,OP,21.0,Music Box ,1009,45,16,,Shubert 
281,Orphans ,Original,Play, Drama,4,2013,5,2013,37.0,OP,6.0,Gerald Schoenfeld ,1079,45,1,,Shubert 
282,Oslo ,Original,Play, Drama,4,2017,7,2017,109.0,OP,18.0,Vivian Beaumont,1080,65,22,,Lincoln Center 
283,Other Desert Cities ,Original,Play, Drama,11,2011,6,2012,261.0,OP,9.0,Booth ,766,45,0,,Shubert 
284,Our Mother's Brief Affair ,Original,Play,,1,2016,3,2016,53.0,OP,8.0,Samuel J. Friedman ,650,47,6,,Manhattan  Club
285,Outside Mullingar ,Original,Play, Comedy,1,2014,3,2014,61.0,OP,8.0,Samuel J. Friedman ,650,47,2,,Manhattan  Club
286,Pal Joey ,Revival,Musical, Comedy,12,2008,3,2009,85.0,RM,23.0,Studio 54,1006,54,0,,Roundabout  
287,Paramour ,Original,Musical, Circus,5,2016,4,2017,366.0,OM,40.0,Lyric ,1938,42,19,Circus,Ambassador  
288,Passing Strange ,Original,Musical,,2,2008,7,2008,165.0,OM,12.0,Belasco ,1018,44,0,,Shubert 
289,Peter and the Starcatcher ,Original,Play, Play with music,4,2012,1,2013,319.0,OP,16.0,Brooks Atkinson ,1094,47,7,,Nederlander 
290,Picnic ,Revival,Play,,1,2013,2,2013,49.0,RP,15.0,American Airlines ,740,42,9,,Roundabout  
291,Pippin ,Revival,Musical, Comedy,4,2013,1,2015,709.0,RM,24.0,Music Box ,1009,45,22,,Shubert 
292,Prelude to a Kiss ,Revival,Play, Comedy,3,2007,4,2007,61.0,RP,13.0,American Airlines ,740,42,22,,Roundabout  
293,Present Laughter  - Rev 4 ,Revival,Play, Comedy,1,2010,3,2010,69.0,RP,15.0,American Airlines ,740,42,16,,Roundabout  
294,Present Laughter  - Rev 5,Revival,Play, Comedy,4,2017,7,2017,101.0,RP,15.0,St. James ,1709,44,12,,Jujamcyn 
295,Prince of Broadway ,Original,Musical, Revue,8,2017,10,2017,76.0,OM,13.0,Samuel J. Friedman ,650,47,14,,Manhattan  Club
296,Priscilla Queen of the Desert The Musical ,Original,Musical,,3,2011,6,2012,526.0,OM,27.0,Palace ,1743,47,18,,Nederlander 
297,Private Lives ,Revival,Play, Comedy,11,2011,12,2011,53.0,RP,7.0,Music Box ,1009,45,15,,Shubert 
298,"Promises, Promises ",Revival,Musical, Comedy,4,2010,1,2011,289.0,RM,28.0,Broadway ,1761,53,23,,Shubert 
299,Pygmalion ,Revival,Play, Comedy,10,2007,12,2007,69.0,RP,17.0,American Airlines ,740,42,4,,Roundabout  
300,Rabbit Hole ,Original,Play,,2,2006,4,2006,77.0,OP,8.0,Samuel J. Friedman ,650,47,14,,Manhattan  Club
301,Race ,Original,Play,,12,2009,8,2010,297.0,OP,7.0,Ethel Barrymore ,1096,47,19,,Shubert 
302,Radio Golf ,Original,Play, Drama,5,2007,7,2007,64.0,OP,8.0,Cort ,1084,48,4,,Shubert 
303,Ragtime ,Revival,Musical, Drama,11,2009,1,2010,65.0,RM,41.0,Neil Simon ,1467,52,2,,Nederlander 
304,RAIN - A Tribute to the Beatles ,Original,Musical, Concert,10,2010,7,2011,300.0,OM,15.0,Brooks Atkinson ,1094,47,1,,Nederlander 
305,Reasons To Be Pretty ,Original,Play,,4,2009,6,2009,85.0,OP,6.0,Lyceum ,922,45,4,,Shubert 
306,Red ,Original,Play, Drama,4,2010,6,2010,101.0,OP,4.0,John Golden ,805,45,3,,Shubert 
307,Relatively Speaking ,Original,Play, Comedy,10,2011,1,2012,117.0,OP,7.0,Brooks Atkinson ,1094,47,10,,Nederlander 
308,Rent ,Original,Musical, Drama,4,1996,9,2008,5123.0,OM,21.0,Nederlander ,1235,41,36,,Nederlander 
309,Ring of Fire ,Original,Musical,,3,2006,4,2006,57.0,OM,25.0,Ethel Barrymore ,1096,47,10,,Shubert 
310,Rock 'n' Roll ,Original,Play,,11,2007,3,2008,123.0,OP,16.0,Bernard B. Jacobs ,1078,45,19,,Shubert 
311,Rock of Ages ,Original,Musical,,4,2009,1,2015,2328.0,OM,20.0,Helen Hayes ,597,44,40,,Second Stage 
312,Rocky ,Original,Musical, Drama,3,2014,8,2014,180.0,OM,31.0,Winter Garden ,1526,50,13,,Shubert 
313,Romeo and Juliet ,Revival,Play, Tragedy,9,2013,12,2013,93.0,RP,23.0,Richard Rodgers ,1400,46,13,Shakespeare,Nederlander 
314,Scandalous: The Life and Trials of Aimee Semple McPherson ,Original,Musical, Drama,11,2012,12,2012,29.0,OM,22.0,Neil Simon ,1467,52,17,,Nederlander 
315,School of Rock - The Musical ,Original,Musical,,12,2015,NA,NA,809.0,OM,35.0,Winter Garden ,1526,50,27,Kids,Shubert 
316,Seascape ,Revival,Play, Drama,11,2005,1,2006,55.0,RP,8.0,Booth ,766,45,21,,Shubert 
317,Seminar ,Original,Play,,11,2011,5,2012,191.0,OP,7.0,John Golden ,805,45,5,,Shubert 
318,She Loves Me ,Revival,Musical, Comedy,3,2016,7,2016,132.0,RM,20.0,Studio 54,1006,54,3,,Roundabout  
319,Shining City ,Original,Play, Drama,5,2006,7,2006,80.0,OP,7.0,Samuel J. Friedman ,650,47,8,,Manhattan  Club
320,Shrek The Musical ,Original,Musical, Comedy,12,2008,1,2010,441.0,OM,32.0,Broadway ,1761,53,35,Kids,Shubert 
321,Shuffle Along,Original,Musical,,4,2016,7,2016,100.0,OM,34.0,Music Box ,1009,45,26,,Shubert 
322,Side Show ,Revival,Musical,,11,2014,1,2015,56.0,RM,25.0,St. James ,1709,44,10,,Jujamcyn 
323,Significant Other ,Original,Play, Comedy,3,2017,4,2017,61.0,OP,11.0,Booth ,766,45,11,,Shubert 
324,Sister Act ,Original,Musical, Comedy,4,2011,8,2012,561.0,OM,32.0,Broadway ,1761,53,33,,Shubert 
325,Six Degrees of Separation ,Revival,Play, Drama,4,2017,6,2017,63.0,RP,22.0,Ethel Barrymore ,1096,47,11,,Shubert 
326,Skylight ,Revival,Play,,4,2015,6,2015,85.0,RP,6.0,John Golden ,805,45,3,,Shubert 
327,Something Rotten! ,Original,Musical, Comedy,4,2015,1,2017,708.0,OM,29.0,St. James ,1709,44,30,,Jujamcyn 
328,Sondheim on Sondheim ,Original,Musical, Revue,4,2010,6,2010,76.0,OM,12.0,Studio 54,1006,54,5,,Roundabout  
329,Soul Doctor ,Original,Musical,,8,2013,10,2013,66.0,OM,23.0,Circle in the Square ,840,50,0,,Independent
330,South Pacific ,Revival,Musical, Drama,4,2008,8,2010,996.0,RM,40.0,Vivian Beaumont,1080,65,20,,Lincoln Center 
331,Souvenir ,Original,Play, Play with music,11,2005,1,2006,68.0,OP,4.0,Lyceum ,922,45,25,,Shubert 
332,Speed-the-Plow ,Revival,Play,,10,2008,2,2009,140.0,RP,5.0,Ethel Barrymore ,1096,47,0,,Shubert 
333,Spider-Man: Turn Off The Dark ,Original,Musical, Spectacle,6,2011,1,2014,1066.0,OM,40.0,Lyric ,1938,42,32,Kids,Ambassador  
335,Spring Awakening  - Original,Original,Musical, Drama,12,2006,1,2009,859.0,OM,19.0,Eugene O'Neill ,1066,49,34,,Jujamcyn 
336,Spring Awakening  - Revival,Revival,Musical, Drama,9,2015,1,2016,135.0,RM,29.0,Brooks Atkinson ,1094,47,6,,Nederlander 
337,Stick Fly ,Original,Play,,12,2011,2,2012,93.0,OP,10.0,Cort ,1084,48,4,,Shubert 
338,Sunday in the Park with George  - Rev 2,Revival,Musical,,2,2008,6,2008,149.0,RM,20.0,Studio 54,1006,54,3,,Roundabout  
339,Sunday in the Park with George  - Rev 3,Revival,Musical,,2,2017,4,2017,61.0,RM,23.0,Hudson ,970,44,17,,Ambassador  
340,Sunset Boulevard ,Revival,Musical,,2,2017,6,2017,138.0,RM,26.0,Palace ,1743,47,19,,Nederlander 
341,Superior Donuts ,Original,Play,,10,2009,1,2010,109.0,OP,14.0,Music Box ,1009,45,9,,Shubert 
342,Sweat ,Original,Play, Drama,3,2017,6,2017,105.0,OP,15.0,Studio 54,1006,54,19,,Roundabout  
343,Sweeney Todd ,Revival,Musical, Thriller,11,2005,9,2006,349.0,RM,14.0,Eugene O'Neill ,1066,49,5,,Jujamcyn 
345,Sylvia ,Original,Play, Comedy,10,2015,1,2016,79.0,OP,6.0,Cort ,1084,48,10,,Shubert 
346,Talk Radio ,Original,Play, Drama,3,2007,6,2007,121.0,OP,14.0,Longacre ,1091,48,1,,Shubert 
347,Tarzan ,Original,Musical, Comedy,5,2006,7,2007,486.0,OM,34.0,Richard Rodgers ,1400,46,22,Disney,Nederlander 
348,That Championship Season ,Revival,Play,,3,2011,5,2011,97.0,RP,9.0,Bernard B. Jacobs ,1078,45,3,,Shubert 
349,The 25th Annual Putnam County Spelling Bee ,Original,Musical, Comedy,5,2005,1,2008,1136.0,OM,13.0,Circle in the Square ,840,50,5,,Independent
350,The 39 Steps ,Original,Play, Comedy,1,2008,1,2010,771.0,OP,7.0,American Airlines ,740,42,12,,Roundabout  
351,The Addams Family ,Original,Musical,,4,2010,12,2011,722.0,OM,26.0,Lunt-Fontanne ,1519,46,18,Kids,Nederlander 
352,The American Plan ,Original,Play,,1,2009,3,2009,70.0,OP,9.0,Samuel J. Friedman ,650,47,8,,Manhattan  Club
353,The Anarchist ,Original,Play, Drama,12,2012,12,2012,17.0,OP,3.0,John Golden ,805,45,9,,Shubert 
354,The Apple Tree ,Revival,Musical, Comedy,12,2006,3,2007,99.0,RM,14.0,Studio 54,1006,54,12,,Roundabout  
355,The Assembled Parties ,Original,Play, Drama,4,2013,7,2013,119.0,OP,13.0,Samuel J. Friedman ,650,47,7,,Manhattan  Club
356,The Audience ,Original,Play,,3,2015,6,2015,114.0,OP,18.0,Gerald Schoenfeld ,1079,45,23,,Shubert 
357,The Band's Visit ,Original,Musical,,11,2017,NA,NA,28.0,OM,22.0,Ethel Barrymore ,1096,47,3,,Shubert 
358,The Big Knife ,Revival,Play,,4,2013,6,2013,56.0,RP,16.0,American Airlines ,740,42,15,,Roundabout  
359,The Book of Mormon ,Original,Musical,,3,2011,NA,NA,2779.0,OM,27.0,Eugene O'Neill ,1066,49,36,,Jujamcyn 
360,The Bridges of Madison County ,Original,Musical,,2,2014,5,2014,100.0,OM,19.0,Gerald Schoenfeld ,1079,45,2,,Shubert 
361,The Caine Mutiny Court-Martial ,Revival,Play, Drama,5,2006,5,2006,17.0,RP,19.0,Gerald Schoenfeld ,1079,45,1,,Shubert 
362,The Cherry Orchard ,Revival,Play, Drama,10,2016,12,2016,57.0,RP,18.0,American Airlines ,740,42,0,,Roundabout  
364,The Coast of Utopia ,Original,Play,,11,2006,5,2007,44.0,OP,36.0,Vivian Beaumont,1080,65,12,,Lincoln Center 
365,The Color Purple  - Original,Original,Musical, Drama,12,2005,2,2008,910.0,OM,34.0,Broadway ,1761,53,40,,Shubert 
366,The Color Purple  - Revival,Revival,Musical, Drama,12,2015,1,2017,450.0,RM,20.0,Bernard B. Jacobs ,1078,45,27,,Shubert 
367,The Columnist ,Original,Play, Drama,4,2012,7,2012,86.0,OP,11.0,Samuel J. Friedman ,650,47,2,,Manhattan  Club
368,The Country Girl ,Revival,Play,,4,2008,7,2008,97.0,RP,11.0,Bernard B. Jacobs ,1078,45,8,,Shubert 
369,The Country House ,Original,Play, Comedy,10,2014,11,2014,61.0,OP,11.0,Samuel J. Friedman ,650,47,12,,Manhattan  Club
370,The Cripple of Inishmaan ,Original,Play,,4,2014,7,2014,105.0,OP,13.0,Cort ,1084,48,3,,Shubert 
371,The Crucible ,Revival,Play, Drama,3,2016,7,2016,125.0,RP,24.0,Walter Kerr ,945,48,1,,Jujamcyn 
372,The Curious Incident of the Dog in the Night-Time ,Original,Play,,10,2014,9,2016,799.0,OP,15.0,Ethel Barrymore ,1096,47,35,,Shubert 
373,The Drowsy Chaperone ,Original,Musical, Comedy,5,2006,12,2007,674.0,OM,21.0,Marquis ,1612,46,26,,Nederlander 
374,The Elephant Man ,Revival,Play, Drama,12,2014,2,2015,83.0,RP,14.0,Booth ,766,45,33,,Shubert 
375,The Encounter ,Original,Play, Solo,9,2016,1,2017,117.0,OP,2.0,John Golden ,805,45,12,Solo,Shubert 
376,The Farnsworth Invention ,Original,Play, Drama,12,2007,3,2008,104.0,OP,22.0,Music Box ,1009,45,4,,Shubert 
377,The Father ,Original,Play, Drama,4,2016,6,2016,78.0,OP,9.0,Samuel J. Friedman ,650,47,19,,Manhattan  Club
378,The Front Page ,Revival,Play, Comedy,10,2016,1,2017,117.0,RP,27.0,Broadhurst ,1186,44,30,,Shubert 
379,The Gershwins Porgy And Bess ,Revival,Musical, Opera,1,2012,9,2012,293.0,RM,27.0,Richard Rodgers ,1400,46,27,,Nederlander 
380,The Gin Game ,Revival,Play,,10,2015,1,2016,92.0,RP,4.0,John Golden ,805,45,25,,Shubert 
381,The Glass Menagerie  - Rev 6,Revival,Play, Drama,9,2013,2,2014,173.0,RP,7.0,Booth ,766,45,10,,Shubert 
382,The Glass Menagerie  - Rev 7,Revival,Play, Drama,3,2017,5,2017,85.0,RP,8.0,Belasco ,1018,44,19,,Shubert 
383,The Heidi Chronicles ,Revival,Play,,3,2015,5,2015,53.0,RP,11.0,Music Box ,1009,45,4,,Shubert 
384,The Heiress ,Revival,Play, Drama,11,2012,2,2013,117.0,RP,11.0,Walter Kerr ,945,48,2,,Jujamcyn 
385,The History Boys ,Original,Play,,4,2006,10,2006,185.0,OP,17.0,Broadhurst ,1186,44,38,,Shubert 
386,The Homecoming ,Revival,Play,,12,2007,4,2008,137.0,RP,9.0,Cort ,1084,48,14,,Shubert 
387,The House of Blue Leaves ,Revival,Play, Comedy,4,2011,6,2011,72.0,RP,14.0,Walter Kerr ,945,48,18,,Jujamcyn 
388,The Humans ,Original,Play,,2,2016,1,2017,365.0,OP,11.0,Gerald Schoenfeld ,1079,45,21,,Shubert 
389,The Importance of Being Earnest ,Revival,Play, Comedy,1,2011,6,2011,189.0,RP,13.0,American Airlines ,740,42,7,,Roundabout  
390,The King and I ,Revival,Musical, Comedy,4,2015,6,2016,499.0,RM,51.0,Vivian Beaumont,1080,65,21,,Lincoln Center 
391,The Last Ship ,Original,Musical,,10,2014,1,2015,105.0,OM,29.0,Neil Simon ,1467,52,7,,Nederlander 
392,The Lieutenant of Inishmore ,Original,Play, Comedy,5,2006,9,2006,142.0,OP,8.0,Lyceum ,922,45,6,,Shubert 
393,The Light in the Piazza ,Original,Musical,,4,2005,7,2006,504.0,OM,18.0,Vivian Beaumont,1080,65,11,,Lincoln Center 
394,The Lion King ,Original,Musical,,6,2006,NA,NA,8325.0,OM,50.0,New Amsterdam ,1747,42,23,Disney,Disney  
395,The Little Dog Laughed ,Original,Play, Comedy,11,2006,2,2007,112.0,OP,6.0,Cort ,1084,48,6,,Shubert 
396,The Little Foxes ,Revival,Play, Drama,4,2017,7,2017,87.0,RP,16.0,Samuel J. Friedman ,650,47,6,,Manhattan  Club
397,The Little Mermaid ,Original,Musical, Fantasy,1,2008,8,2009,685.0,OM,37.0,Lunt-Fontanne ,1519,46,17,Disney,Nederlander 
398,The Lyons ,Original,Play, Comedy,4,2012,7,2012,80.0,OP,10.0,Cort ,1084,48,3,,Shubert 
399,The Merchant of Venice ,Revival,Play, Comedy,11,2010,2,2011,73.0,RP,31.0,Broadhurst ,1186,44,29,,Shubert 
400,The Miracle Worker ,Revival,Play, Drama,3,2010,4,2010,28.0,RP,17.0,Circle in the Square ,840,50,8,,Independent
401,The Motherf**ker with the Hat ,Original,Play, Comedy,4,2011,7,2011,112.0,OP,8.0,Gerald Schoenfeld ,1079,45,21,,Shubert 
402,The Mountaintop ,Original,Play, Drama,10,2011,1,2012,117.0,OP,4.0,Bernard B. Jacobs ,1078,45,3,,Shubert 
403,The Mystery of Edwin Drood ,Revival,Musical,,11,2012,3,2013,136.0,RM,22.0,Studio 54,1006,54,19,,Roundabout  
404,The Nance ,Original,Play, Drama,4,2013,8,2013,136.0,OP,12.0,Lyceum ,922,45,18,,Shubert 
405,The Normal Heart ,Original,Play, Drama,4,2011,7,2011,86.0,OP,13.0,John Golden ,805,45,3,,Shubert 
406,The Norman Conquests ,Revival,Play, Comedy,4,2009,7,2009,28.0,RP,10.0,Circle in the Square ,840,50,4,,Independent
407,The Odd Couple ,Revival,Play, Comedy,10,2005,6,2006,249.0,RP,11.0,Brooks Atkinson ,1094,47,30,,Nederlander 
408,The Other Place ,Original,Play, Thriller,1,2013,3,2013,61.0,OP,7.0,Samuel J. Friedman ,650,47,0,,Manhattan  Club
409,The Pajama Game ,Revival,Musical, Comedy,2,2006,6,2006,129.0,RM,23.0,American Airlines ,740,42,3,,Roundabout  
410,The Parisian Woman ,Original,Play, Drama,11,2017,3,2018,4.0,OP,8.0,Hudson ,970,44,9,,Ambassador  
411,The Pee-wee Herman Show ,Original,Play, Comedy,11,2010,1,2011,62.0,OP,19.0,Stephen Sondheim ,1055,43,9,,Roundabout  
412,The People in the Picture ,Original,Musical, Comedy,4,2011,6,2011,60.0,OM,23.0,Studio 54,1006,54,9,,Roundabout  
413,The Performers ,Original,Play, Comedy,11,2012,11,2012,6.0,OP,10.0,Longacre ,1091,48,2,,Shubert 
414,The Phantom of the Opera ,Original,Musical,,1,1988,NA,NA,12398.0,OM,36.0,Majestic ,1645,44,36,,Shubert 
415,The Philanthropist ,Revival,Play, Comedy,4,2009,6,2009,73.0,RP,10.0,American Airlines ,740,42,8,,Roundabout  
416,The Pirate Queen ,Original,Musical, Drama,4,2007,6,2007,85.0,OM,42.0,Lyric ,1938,42,35,,Ambassador  
417,The Pitmen Painters ,Original,Play, Drama,9,2010,12,2010,86.0,OP,11.0,Samuel J. Friedman ,650,47,11,,Manhattan  Club
418,The Play That Goes Wrong ,Original,Play,,4,2017,NA,NA,257.0,OP,12.0,Lyceum ,922,45,3,,Shubert 
419,The Present ,Original,Play, Drama,1,2017,3,2017,81.0,OP,16.0,Ethel Barrymore ,1096,47,9,,Shubert 
